Model,Fold,Balanced Accuracy,F1 Score,MCC
DecisionTreeClassifier,1,0.7357142857142858,0.75,0.6210497655139884
DecisionTreeClassifier,2,0.7071428571428572,0.6875,0.526955555241834
DecisionTreeClassifier,3,0.707936507936508,0.7333333333333333,0.5831296952211336
DecisionTreeClassifier,4,0.3944444444444444,0.4,0.10274936706584831
DecisionTreeClassifier,5,0.7666666666666666,0.8,0.7234097793129284
SVC,1,0.8690476190476191,0.875,0.8110359210349342
SVC,2,0.4761904761904762,0.5,0.2279658683417254
SVC,3,0.6793650793650793,0.6666666666666666,0.5035560639637111
SVC,4,0.6,0.6,0.3918918918918919
SVC,5,0.6166666666666667,0.6,0.41216216216216217
GaussianNB,1,0.4357142857142857,0.5,0.1921258840020449
GaussianNB,2,0.4928571428571429,0.5,0.22562653442325237
GaussianNB,3,0.5523809523809523,0.6666666666666666,0.4602765039559337
GaussianNB,4,0.6166666666666667,0.6,0.41216216216216217
GaussianNB,5,0.5333333333333333,0.5333333333333333,0.28769822778437526
KNeighborsClassifier,1,0.7190476190476192,0.75,0.6166528756957292
KNeighborsClassifier,2,0.7738095238095237,0.75,0.6385542168674698
KNeighborsClassifier,3,0.5968253968253968,0.6666666666666666,0.467841591275469
KNeighborsClassifier,4,0.5888888888888889,0.6,0.40008563986157863
KNeighborsClassifier,5,0.7944444444444446,0.8,0.6986956960477685
LogisticRegression,1,0.7738095238095237,0.75,0.6780849480611914
LogisticRegression,2,0.7261904761904763,0.6875,0.5957007954930092
LogisticRegression,3,0.5968253968253968,0.6666666666666666,0.467841591275469
LogisticRegression,4,0.561111111111111,0.5333333333333333,0.31756756756756754
LogisticRegression,5,0.6833333333333332,0.6666666666666666,0.5311481770576131
RandomForestClassifier,1,0.6404761904761904,0.625,0.42771084337349397
RandomForestClassifier,2,0.7071428571428572,0.6875,0.526955555241834
RandomForestClassifier,3,0.707936507936508,0.7333333333333333,0.5831296952211336
RandomForestClassifier,4,0.6,0.6,0.39864864864864863
RandomForestClassifier,5,0.7277777777777779,0.7333333333333333,0.5932304315188924
XGBClassifier,1,0.6880952380952382,0.6875,0.524851373691121
XGBClassifier,2,0.7071428571428572,0.6875,0.5297994485700921
XGBClassifier,3,0.707936507936508,0.7333333333333333,0.5831296952211336
XGBClassifier,4,0.7388888888888889,0.7333333333333333,0.6040404496926219
XGBClassifier,5,0.6444444444444445,0.6666666666666666,0.4936637835652229
